DateTime;Players;Average Players;Twitch Viewers;game
25.02.22 00:00;12330;;7324;forza_horizon_5
26.02.22 00:00;12782;;1460;forza_horizon_5
27.02.22 00:00;11970;;4527;forza_horizon_5
28.02.22 00:00;9248;;2761;forza_horizon_5
01.03.22 00:00;9550;;25534;forza_horizon_5
02.03.22 00:00;9456;;1596;forza_horizon_5
03.03.22 00:00;13103;;2354;forza_horizon_5
04.03.22 00:00;12190;;3402;forza_horizon_5
05.03.22 00:00;13269;;1440;forza_horizon_5
06.03.22 00:00;13029;;3380;forza_horizon_5
07.03.22 00:00;9510;;1412;forza_horizon_5
08.03.22 00:00;9400;;2402;forza_horizon_5
09.03.22 00:00;9258;;1101;forza_horizon_5
10.03.22 00:00;12256;;2007;forza_horizon_5
11.03.22 00:00;11461;;3548;forza_horizon_5
12.03.22 00:00;12433;;1583;forza_horizon_5
13.03.22 00:00;11819;;1800;forza_horizon_5
14.03.22 00:00;8617;;2632;forza_horizon_5
15.03.22 00:00;8419;;1351;forza_horizon_5
16.03.22 00:00;8776;;5470;forza_horizon_5
17.03.22 00:00;11811;;6440;forza_horizon_5
18.03.22 00:00;11023;;954;forza_horizon_5
19.03.22 00:00;11640;;5822;forza_horizon_5
20.03.22 00:00;11023;;1990;forza_horizon_5
21.03.22 00:00;7974;;5448;forza_horizon_5
22.03.22 00:00;7949;;2560;forza_horizon_5
23.03.22 00:00;8174;;1347;forza_horizon_5
24.03.22 00:00;12007;;2864;forza_horizon_5
25.03.22 00:00;11317;;2778;forza_horizon_5
26.03.22 00:00;12157;;1434;forza_horizon_5
27.03.22 00:00;11760;;1368;forza_horizon_5
28.03.22 00:00;8959;;2380;forza_horizon_5
29.03.22 00:00;8923;;6739;forza_horizon_5
30.03.22 00:00;9314;;6442;forza_horizon_5
31.03.22 00:00;14466;;7471;forza_horizon_5
01.04.22 00:00;12571;;1303;forza_horizon_5
02.04.22 00:00;13673;;1218;forza_horizon_5
03.04.22 00:00;13151;;4332;forza_horizon_5
04.04.22 00:00;9779;;1205;forza_horizon_5
05.04.22 00:00;9295;;1439;forza_horizon_5
06.04.22 00:00;9392;;845;forza_horizon_5
07.04.22 00:00;13541;;2635;forza_horizon_5
08.04.22 00:00;12837;;1776;forza_horizon_5
09.04.22 00:00;14292;;1350;forza_horizon_5
10.04.22 00:00;13902;;1669;forza_horizon_5
11.04.22 00:00;10993;;1247;forza_horizon_5
12.04.22 00:00;10819;;1358;forza_horizon_5
13.04.22 00:00;10941;;2102;forza_horizon_5
14.04.22 00:00;13820;;1789;forza_horizon_5
15.04.22 00:00;13650;;2759;forza_horizon_5
16.04.22 00:00;12822;;1269;forza_horizon_5
17.04.22 00:00;11962;;1932;forza_horizon_5
18.04.22 00:00;10997;;5202;forza_horizon_5
19.04.22 00:00;9138;;1341;forza_horizon_5
20.04.22 00:00;9256;;1549;forza_horizon_5
21.04.22 00:00;12885;;1961;forza_horizon_5
22.04.22 00:00;11555;;2095;forza_horizon_5
23.04.22 00:00;11592;;2942;forza_horizon_5
24.04.22 00:00;11414;;2253;forza_horizon_5
25.04.22 00:00;9069;;11408;forza_horizon_5
26.04.22 00:00;9212;;2726;forza_horizon_5
27.04.22 00:00;8986;;1497;forza_horizon_5
28.04.22 00:00;13298;;1629;forza_horizon_5
29.04.22 00:00;11534;;2155;forza_horizon_5
30.04.22 00:00;12250;;9158;forza_horizon_5
01.05.22 00:00;11773;;985;forza_horizon_5
02.05.22 00:00;9437;;2788;forza_horizon_5
03.05.22 00:00;8958;;2898;forza_horizon_5
04.05.22 00:00;8722;;2601;forza_horizon_5
05.05.22 00:00;12559;;3194;forza_horizon_5
06.05.22 00:00;10999;;1394;forza_horizon_5
07.05.22 00:00;11856;;7534;forza_horizon_5
08.05.22 00:00;10971;;1286;forza_horizon_5
09.05.22 00:00;8249;;4261;forza_horizon_5
10.05.22 00:00;8304;;2071;forza_horizon_5
11.05.22 00:00;8540;;844;forza_horizon_5
12.05.22 00:00;11440;;3579;forza_horizon_5
13.05.22 00:00;10316;;1211;forza_horizon_5
14.05.22 00:00;10525;;1253;forza_horizon_5
15.05.22 00:00;10057;;1185;forza_horizon_5
16.05.22 00:00;7941;;645;forza_horizon_5
17.05.22 00:00;7648;;20654;forza_horizon_5
18.05.22 00:00;7833;;1143;forza_horizon_5
19.05.22 00:00;11241;;1723;forza_horizon_5
20.05.22 00:00;9660;;6504;forza_horizon_5
21.05.22 00:00;10059;;7003;forza_horizon_5
22.05.22 00:00;9408;;1917;forza_horizon_5
23.05.22 00:00;7788;;2007;forza_horizon_5
24.05.22 00:00;7530;;844;forza_horizon_5
25.05.22 00:00;8063;;27469;forza_horizon_5
26.05.22 00:00;12188;;2241;forza_horizon_5
27.05.22 00:00;10868;;8966;forza_horizon_5
28.05.22 00:00;10534;;9844;forza_horizon_5
29.05.22 00:00;10071;;1072;forza_horizon_5
30.05.22 00:00;8712;;1136;forza_horizon_5
31.05.22 00:00;7933;;3336;forza_horizon_5
01.06.22 00:00;8330;;1323;forza_horizon_5
02.06.22 00:00;12665;;1883;forza_horizon_5
03.06.22 00:00;10493;;1029;forza_horizon_5
04.06.22 00:00;10309;;2171;forza_horizon_5
05.06.22 00:00;10402;;1049;forza_horizon_5
06.06.22 00:00;9066;;1705;forza_horizon_5
07.06.22 00:00;8078;;681;forza_horizon_5
08.06.22 00:00;8229;;1508;forza_horizon_5
09.06.22 00:00;11247;;1840;forza_horizon_5
10.06.22 00:00;10131;;1467;forza_horizon_5
11.06.22 00:00;10608;;1168;forza_horizon_5
12.06.22 00:00;11272;;2244;forza_horizon_5
13.06.22 00:00;10194;;9754;forza_horizon_5
14.06.22 00:00;9998;;2156;forza_horizon_5
15.06.22 00:00;9825;;2026;forza_horizon_5
16.06.22 00:00;14263;;9326;forza_horizon_5
17.06.22 00:00;12927;;1993;forza_horizon_5
18.06.22 00:00;12787;;1624;forza_horizon_5
19.06.22 00:00;12890;;1323;forza_horizon_5
20.06.22 00:00;11071;;2422;forza_horizon_5
21.06.22 00:00;10792;;35899;forza_horizon_5
22.06.22 00:00;10819;;8305;forza_horizon_5
23.06.22 00:00;15326;;2029;forza_horizon_5
24.06.22 00:00;13508;;1110;forza_horizon_5
25.06.22 00:00;13502;;1344;forza_horizon_5
26.06.22 00:00;13358;;1374;forza_horizon_5
27.06.22 00:00;11438;;2552;forza_horizon_5
28.06.22 00:00;11147;;127965;forza_horizon_5
29.06.22 00:00;11273;;1968;forza_horizon_5
30.06.22 00:00;14201;;10327;forza_horizon_5
01.07.22 00:00;12893;;1767;forza_horizon_5
02.07.22 00:00;12285;;2986;forza_horizon_5
03.07.22 00:00;12417;;2627;forza_horizon_5
04.07.22 00:00;11254;;1263;forza_horizon_5
05.07.22 00:00;10698;;970;forza_horizon_5
06.07.22 00:00;10741;;2383;forza_horizon_5
07.07.22 00:00;13853;;4122;forza_horizon_5
08.07.22 00:00;12158;;1497;forza_horizon_5
09.07.22 00:00;11867;;1388;forza_horizon_5
10.07.22 00:00;11485;;1054;forza_horizon_5
11.07.22 00:00;9840;;990;forza_horizon_5
12.07.22 00:00;9506;;1291;forza_horizon_5
13.07.22 00:00;9410;;1040;forza_horizon_5
14.07.22 00:00;12667;;5383;forza_horizon_5
15.07.22 00:00;10930;;1078;forza_horizon_5
16.07.22 00:00;10923;;1566;forza_horizon_5
17.07.22 00:00;10793;;1450;forza_horizon_5
18.07.22 00:00;9279;;3310;forza_horizon_5
19.07.22 00:00;18000;;16211;forza_horizon_5
20.07.22 00:00;18948;;29878;forza_horizon_5
21.07.22 00:00;18321;;4502;forza_horizon_5
22.07.22 00:00;17164;;3381;forza_horizon_5
23.07.22 00:00;16133;;4141;forza_horizon_5
24.07.22 00:00;14762;;2945;forza_horizon_5
25.07.22 00:00;12411;;9095;forza_horizon_5
26.07.22 00:00;11848;;1539;forza_horizon_5
27.07.22 00:00;11092;;7331;forza_horizon_5
28.07.22 00:00;12831;;8189;forza_horizon_5
29.07.22 00:00;11833;;19746;forza_horizon_5
30.07.22 00:00;11529;;2114;forza_horizon_5
31.07.22 00:00;11287;;5538;forza_horizon_5
01.08.22 00:00;9855;;5093;forza_horizon_5
02.08.22 00:00;9102;;6091;forza_horizon_5
03.08.22 00:00;9282;;7008;forza_horizon_5
04.08.22 00:00;11295;;1506;forza_horizon_5
05.08.22 00:00;10509;;1205;forza_horizon_5
06.08.22 00:00;10751;;1220;forza_horizon_5
07.08.22 00:00;10204;;1636;forza_horizon_5
08.08.22 00:00;9039;;4945;forza_horizon_5
09.08.22 00:00;8948;;1435;forza_horizon_5
10.08.22 00:00;8418;;7708;forza_horizon_5
11.08.22 00:00;10992;;5368;forza_horizon_5
12.08.22 00:00;9910;;3204;forza_horizon_5
13.08.22 00:00;9877;;1053;forza_horizon_5
14.08.22 00:00;9835;;7870;forza_horizon_5
15.08.22 00:00;8972;;6612;forza_horizon_5
16.08.22 00:00;8397;;1278;forza_horizon_5
